Gene_ID	start	end	strand	Annotation	Gene_length_bp	NumberUniqueHits	NormalizeUniquehits_hitsperbp	TotalNumberReads	Pvalue-Essential	AdjPvalue-Essential	FWER-Essential	Pvalue-ImprovedFitness	AdjPvalue-ImprovedFitness	FWER-ImprovedFitness	Library
MPAO1_00005	1	1545	+	chromosomal replication initiator protein DnaA	1545	0	0	0	0.544882769	1	1	0.455117231	0.489600857	1	Ess541
MPAO1_00005	1	1545	+	chromosomal replication initiator protein DnaA	1545	0	0	0	0.873822071	1	1	0.126177929	0.141244309	1	Ess538
MPAO1_00005	1	1545	+	chromosomal replication initiator protein DnaA	1545	0.0	0.0	0.0	0.6835514419846206	1.0	1.0	0.3164485580153794	0.3464489893861799	1.0	Ess540
MPAO1_00005	1	1545	+	chromosomal replication initiator protein DnaA	1545	0.0	0.0	0.0	0.8392815092073325	1.0	1.0	0.16071849079266753	0.17946491050138674	1.0	Ess539
MPAO1_00010	1574	2677	+	DNA polymerase III subunit beta	1104	0	0	0	0.684963033	1	1	0.315036967	0.408422429	1	Ess541
MPAO1_00010	1574	2677	+	DNA polymerase III subunit beta	1104	0	0	0	0.919380946	1	1	0.080619054	0.116776441	1	Ess538
MPAO1_00010	1574	2677	+	DNA polymerase III subunit beta	1104	0.0	0.0	0.0	0.7889170278640193	1.0	1.0	0.2110829721359807	0.28661254567227873	1.0	Ess540
MPAO1_00010	1574	2677	+	DNA polymerase III subunit beta	1104	0.0	0.0	0.0	0.8965615976150002	1.0	1.0	0.1034384023849998	0.1487670489892412	1.0	Ess539
MPAO1_00015	2687	3796	+	DNA replication/repair protein RecF	1110	0	0	0	0.878961465	1	1	0.121038535	0.137773917	1	Ess538
MPAO1_00015	2687	3796	+	DNA replication/repair protein RecF	1110	0.0	0.0	0.0	0.6949524086766073	1.0	1.0	0.30504759132339265	0.3385705705813637	1.0	Ess540
MPAO1_00015	2687	3796	+	DNA replication/repair protein RecF	1110	0.0	0.0	0.0	0.8456993909086028	1.0	1.0	0.1543006090913972	0.17505867211720377	1.0	Ess539
MPAO1_00015	2687	3796	+	DNA replication/repair protein RecF	1110	1	0.001002004	10	0.885818173	1	1	0.114181827	0.396198808	1	Ess541
MPAO1_00020	3793	6213	+	DNA gyrase subunit B	2421	0	0	0	0.393459807	1	1	0.606540193	0.617251256	1	Ess541
MPAO1_00020	3793	6213	+	DNA gyrase subunit B	2421	0	0	0	0.812853275	1	1	0.187146725	0.192383429	1	Ess538
MPAO1_00020	3793	6213	+	DNA gyrase subunit B	2421	0.0	0.0	0.0	0.5574042235550214	1.0	1.0	0.4425957764449786	0.4518197245473401	1.0	Ess540
MPAO1_00020	3793	6213	+	DNA gyrase subunit B	2421	0.0	0.0	0.0	0.7640196236123312	1.0	1.0	0.23598037638766878	0.24245632798579217	1.0	Ess539
MPAO1_00025	6536	7309	-	1-acyl-sn-glycerol-3-phosphate acyltransferase	774	0	0	0	0.761250285	1	1	0.238749715	0.389500645	1	Ess541
MPAO1_00025	6536	7309	-	1-acyl-sn-glycerol-3-phosphate acyltransferase	774	0	0	0	0.941201914	1	1	0.058798086	0.116564975	1	Ess538
MPAO1_00025	6536	7309	-	1-acyl-sn-glycerol-3-phosphate acyltransferase	774	0.0	0.0	0.0	0.8428819869535721	1.0	1.0	0.15711801304642792	0.2790150092709678	1.0	Ess540
MPAO1_00025	6536	7309	-	1-acyl-sn-glycerol-3-phosphate acyltransferase	774	0.0	0.0	0.0	0.9243013431217901	1.0	1.0	0.07569865687820987	0.1484673690791183	1.0	Ess539
MPAO1_00030	7321	7857	-	"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"	537	0	0	0	0.715773484	1	1	0.284226516	0.399398388	1	Ess541
MPAO1_00030	7321	7857	-	"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"	537	0	0	0	0.928410852	1	1	0.071589148	0.115668227	1	Ess538
MPAO1_00030	7321	7857	-	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	537	0.0	0.0	0.0	0.8109693320831072	1.0	1.0	0.18903066791689282	0.2822973236827988	1.0	Ess540
MPAO1_00030	7321	7857	-	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	537	0.0	0.0	0.0	0.9080171909874039	1.0	1.0	0.09198280901259615	0.14740320375573612	1.0	Ess539
MPAO1_00035	8189	9895	+	hypothetical protein	1707	0	0	0	0.521428304	1	1	0.478571696	0.50731189	1	Ess541
MPAO1_00035	8189	9895	+	hypothetical protein	1707	0	0	0	0.865323106	1	1	0.134676894	0.14749968	1	Ess538
MPAO1_00035	8189	9895	+	hypothetical protein	1707	0.0	0.0	0.0	0.6649639519875312	1.0	1.0	0.3350360480124688	0.36028940545504784	1.0	Ess540
MPAO1_00035	8189	9895	+	hypothetical protein	1707	0.0	0.0	0.0	0.8286930888669626	1.0	1.0	0.17130691113303742	0.18719874021937052	1.0	Ess539
MPAO1_00040	9952	12006	-	glycine--tRNA ligase subunit beta	2055	0	0	0	0.494611755	1	1	0.505388245	0.529531569	1	Ess541
MPAO1_00040	9952	12006	-	glycine--tRNA ligase subunit beta	2055	0	0	0	0.855233392	1	1	0.144766608	0.155678398	1	Ess538
MPAO1_00040	9952	12006	-	glycine--tRNA ligase subunit beta	2055	0.0	0.0	0.0	0.6433249297070063	1.0	1.0	0.3566750702929937	0.3776181669996789	1.0	Ess540
MPAO1_00040	9952	12006	-	glycine--tRNA ligase subunit beta	2055	0.0	0.0	0.0	0.8161631667568	1.0	1.0	0.1838368332432	0.19736856727005106	1.0	Ess539
MPAO1_00045	12006	12953	-	glycine--tRNA ligase subunit alpha	948	0	0	0	0.70950247	1	1	0.29049753	0.400456023	1	Ess541
MPAO1_00045	12006	12953	-	glycine--tRNA ligase subunit alpha	948	0	0	0	0.926597804	1	1	0.073402196	0.115734472	1	Ess538
MPAO1_00045	12006	12953	-	glycine--tRNA ligase subunit alpha	948	0.0	0.0	0.0	0.8065101007003912	1.0	1.0	0.1934898992996088	0.28291881295599514	1.0	Ess540
MPAO1_00045	12006	12953	-	glycine--tRNA ligase subunit alpha	948	0.0	0.0	0.0	0.9057144220626006	1.0	1.0	0.09428557793739945	0.1475141408347176	1.0	Ess539
