# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1	1545	+					dnaA		MPAO1_00005	1545		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1574	2677	+							MPAO1_00010	1104		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	2687	3796	+					recF		MPAO1_00015	1110		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	3793	6213	+							MPAO1_00020	2421		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	6536	7309	-							MPAO1_00025	774		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	7321	7857	-							MPAO1_00030	537		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	8189	9895	+							MPAO1_00035	1707		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	9952	12006	-							MPAO1_00040	2055		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	12006	12953	-					glyQ		MPAO1_00045	948		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	13058	13609	+					tag		MPAO1_00050	552		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	13753	14640	+							MPAO1_00055	888		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	14725	14991	+							MPAO1_00060	267		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	15138	15791	+							MPAO1_00065	654		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	15853	16125	-							MPAO1_00070	273		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	16418	16735	-							MPAO1_00075	318		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	16884	18257	-					trkA		MPAO1_00080	1374		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	18285	19589	-							MPAO1_00085	1305		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	19586	20530	-							MPAO1_00090	945		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	20585	21091	-							MPAO1_00095	507		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	21230	22255	+							MPAO1_00100	1026		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	22390	23478	+					dprA		MPAO1_00105	1089		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	23519	24076	+							MPAO1_00110	558		
