Gene_ID	start	end	strand
MPAO1_00005	1	1545	+
MPAO1_00010	1574	2677	+
MPAO1_00015	2687	3796	+
MPAO1_00020	3793	6213	+
MPAO1_00025	6536	7309	-
MPAO1_00030	7321	7857	-
MPAO1_00035	8189	9895	+
MPAO1_00040	9952	12006	-
MPAO1_00045	12006	12953	-
MPAO1_00050	13058	13609	+
MPAO1_00055	13753	14640	+
MPAO1_00060	14725	14991	+
MPAO1_00065	15138	15791	+
MPAO1_00070	15853	16125	-
MPAO1_00075	16418	16735	-
MPAO1_00080	16884	18257	-
MPAO1_00085	18285	19589	-
MPAO1_00090	19586	20530	-
MPAO1_00095	20585	21091	-
MPAO1_00100	21230	22255	+
MPAO1_00105	22390	23478	+
MPAO1_00110	23519	24076	+
MPAO1_00115	24086	25063	-
MPAO1_00120	25254	26171	+
MPAO1_00125	26229	27053	+
MPAO1_00130	27164	28150	+
MPAO1_00135	28131	29417	+
MPAO1_00140	29414	30016	+
MPAO1_00145	30020	31573	-
MPAO1_00150	31578	32501	-
MPAO1_00155	32518	34029	-
MPAO1_00160	34142	35056	+
MPAO1_00165	35067	35444	+
MPAO1_00170	35423	35788	-
MPAO1_00175	35796	36419	-
MPAO1_00180	36605	37411	-
MPAO1_00185	37408	38616	-
MPAO1_00190	38720	39607	+
MPAO1_00195	39708	39923	+
MPAO1_00200	40107	40334	+
MPAO1_00205	40631	42319	+
MPAO1_00210	42432	53039	+
MPAO1_00215	53042	53296	+
MPAO1_00220	53639	54340	+
MPAO1_00225	54357	54551	+
MPAO1_00230	54607	54843	+
MPAO1_00235	55030	55275	+
MPAO1_00240	55272	55592	+
MPAO1_00245	55687	55965	+
MPAO1_00250	56064	56459	+
MPAO1_00255	56473	56733	-
MPAO1_00260	56730	58112	-
MPAO1_00265	58304	59677	+
MPAO1_00270	60174	60860	+
MPAO1_00275	60891	61244	+
MPAO1_00280	61241	61906	+
MPAO1_00285	61921	62304	-
MPAO1_00290	62586	64247	-
MPAO1_00295	64857	64997	+
MPAO1_00300	65821	67653	+
MPAO1_00305	67706	68134	-
MPAO1_00310	68574	69044	+
MPAO1_00315	69061	69609	-
MPAO1_00320	69648	70154	-
MPAO1_00325	70220	71140	-
MPAO1_00330	71248	72135	+
MPAO1_00335	72198	72902	+
MPAO1_00340	72986	73441	+
MPAO1_00345	73552	73785	+
MPAO1_00350	73797	74234	-
MPAO1_00355	74291	74707	-
MPAO1_00360	74799	75926	+
MPAO1_00365	75934	76917	-
MPAO1_00370	76950	77615	-
MPAO1_00375	77608	78150	-
MPAO1_00380	78228	80273	+
MPAO1_00385	80270	80545	+
MPAO1_00390	80634	81692	+
MPAO1_00395	81922	82836	-
MPAO1_00400	82898	84610	-
MPAO1_00405	84603	85802	-
MPAO1_00410	85802	86521	-
MPAO1_00415	86518	89616	-
MPAO1_00420	89624	90352	-
